id,dom_ok,mltask_ok,causa_provavel
A19US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A19US9Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A19US10Ge,Sim,Nao,"dominio ok, erro/vazio de ML TASK (estagio 2)"
A19US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A19US2Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A19US3Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A19US4Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A19US5Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A19US6Ll,Sim,Sim,dominio e task ok -> diferenca vem do MAPPING (estagio 3)
A19US7Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A19US8Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A19US9Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A19US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A19US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A19US2O1,Nao,Sim,erro de DOMINIO (estagio 1)
A19US3O1,Nao,Nao,erro de DOMINIO (estagio 1)
A19US4O1,Nao,Nao,erro de DOMINIO (estagio 1)
A19US5O1,Sim,Sim,dominio e task ok -> diferenca vem do MAPPING (estagio 3)
A19US6O1,Nao,Nao,erro de DOMINIO (estagio 1)
A19US7O1,Sim,Sim,dominio e task ok -> diferenca vem do MAPPING (estagio 3)
A19US8O1,Nao,Nao,erro de DOMINIO (estagio 1)
A19US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A19US10O1,Nao,Nao,erro de DOMINIO (estagio 1)
A20US1Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A20US2Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A20US3Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A20US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A20US5Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A20US6Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A20US7Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A20US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A20US9Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A20US10Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A20US1Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A20US2Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A20US3Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A20US4Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A20US5Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A20US6Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A20US7Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A20US8Ll,Sim,Nao,"dominio ok, erro/vazio de ML TASK (estagio 2)"
A20US9Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A20US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A20US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A20US2O1,Nao,Sim,erro de DOMINIO (estagio 1)
A20US3O1,Nao,Nao,erro de DOMINIO (estagio 1)
A20US4O1,Nao,Sim,erro de DOMINIO (estagio 1)
A20US5O1,Nao,Sim,erro de DOMINIO (estagio 1)
A20US6O1,Nao,Sim,erro de DOMINIO (estagio 1)
A20US7O1,Nao,Nao,erro de DOMINIO (estagio 1)
A20US8O1,Nao,Nao,erro de DOMINIO (estagio 1)
A20US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A20US10O1,Nao,Sim,erro de DOMINIO (estagio 1)
A21US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A21US2Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A21US3Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A21US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A21US5Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A21US6Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A21US7Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A21US8Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A21US9Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A21US10Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A21US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A21US2Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A21US3Ll,Sim,Sim,dominio e task ok -> diferenca vem do MAPPING (estagio 3)
A21US4Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A21US5Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A21US6Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A21US7Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A21US8Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A21US9Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A21US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A21US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A21US2O1,Nao,Sim,erro de DOMINIO (estagio 1)
A21US3O1,Nao,Sim,erro de DOMINIO (estagio 1)
A21US4O1,Nao,Sim,erro de DOMINIO (estagio 1)
A21US5O1,Nao,Sim,erro de DOMINIO (estagio 1)
A21US6O1,Nao,Sim,erro de DOMINIO (estagio 1)
A21US7O1,Nao,Sim,erro de DOMINIO (estagio 1)
A21US8O1,Nao,Nao,erro de DOMINIO (estagio 1)
A21US9O1,Nao,Sim,erro de DOMINIO (estagio 1)
A21US10O1,Nao,Nao,erro de DOMINIO (estagio 1)
A22US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A22US2Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A22US3Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A22US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A22US5Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A22US6Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A22US7Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A22US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A22US9Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A22US10Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A22US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A22US2Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A22US3Ll,Nao,Nao,erro de DOMINIO (estagio 1)
